label	entity_id	ssid
negative regulation of non-membrane spanning protein tyrosine kinase activity	http://purl.obolibrary.org/obo/GO_1903996	13127
negative regulation of eating behavior	http://purl.obolibrary.org/obo/GO_1903999	39814
regulation of eating behavior	http://purl.obolibrary.org/obo/GO_1903998	1245
positive regulation of non-membrane spanning protein tyrosine kinase activity	http://purl.obolibrary.org/obo/GO_1903997	23370
regulation of non-membrane spanning protein tyrosine kinase activity	http://purl.obolibrary.org/obo/GO_1903995	4956
IgA receptor activity	http://purl.obolibrary.org/obo/GO_0019766	19363
glucosinolate catabolic process	http://purl.obolibrary.org/obo/GO_0019762	33054
glucosinolate biosynthetic process	http://purl.obolibrary.org/obo/GO_0019761	44142
glucosinolate metabolic process	http://purl.obolibrary.org/obo/GO_0019760	8661
low-affinity IgE receptor activity	http://purl.obolibrary.org/obo/GO_0019769	28609
IgE receptor activity	http://purl.obolibrary.org/obo/GO_0019767	20206
high-affinity IgE receptor activity	http://purl.obolibrary.org/obo/GO_0019768	4511
immunoglobulin receptor activity	http://purl.obolibrary.org/obo/GO_0019763	3540
peptide glutaryltransferase activity	http://purl.obolibrary.org/obo/GO_0106228	6655
pyocyanine biosynthetic process	http://purl.obolibrary.org/obo/GO_0106220	27093
peptide 2-hydroxyisobutyryltransferase activity	http://purl.obolibrary.org/obo/GO_0106226	20587
peptidyl-lysine glutarylation	http://purl.obolibrary.org/obo/GO_0106227	24798
peptidyl-lysine 2-hydroxyisobutyrylation	http://purl.obolibrary.org/obo/GO_0106225	40329
lncRNA binding	http://purl.obolibrary.org/obo/GO_0106222	9835
germacrene A hydroxylase activity	http://purl.obolibrary.org/obo/GO_0106223	14928
histone glutaryltransferase activity	http://purl.obolibrary.org/obo/GO_0106229	20894
4-nitrobenzyl alcohol oxidase activity	http://purl.obolibrary.org/obo/GO_0102038	41805
NADH-dependent peroxiredoxin activity	http://purl.obolibrary.org/obo/GO_0102039	17675
2-methylpropanoyl-CoA dehydrogenase activity	http://purl.obolibrary.org/obo/GO_0102035	3956
4-acetamido-4,6-dideoxy-D-galactose transferase activity	http://purl.obolibrary.org/obo/GO_0102031	38179
4-nitrotoluene monooxygenase activity	http://purl.obolibrary.org/obo/GO_0102037	19894
methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase activity	http://purl.obolibrary.org/obo/GO_0102036	169
long-chain fatty acid omega-hydroxylase activity	http://purl.obolibrary.org/obo/GO_0102033	43587
protein kinase C signaling	http://purl.obolibrary.org/obo/GO_0070528	12265
11-beta-hydroxysteroid dehydrogenase (NAD+) activity	http://purl.obolibrary.org/obo/GO_0070523	30724
platelet aggregation	http://purl.obolibrary.org/obo/GO_0070527	42777
L-tryptophan aminotransferase activity	http://purl.obolibrary.org/obo/GO_0070529	44117
tRNA threonylcarbamoyladenosine metabolic process	http://purl.obolibrary.org/obo/GO_0070525	43713
11-beta-hydroxysteroid dehydrogenase (NADP+) activity	http://purl.obolibrary.org/obo/GO_0070524	23200
inositol oxygenase activity	http://purl.obolibrary.org/obo/GO_0050113	44364
inositol 2-dehydrogenase activity	http://purl.obolibrary.org/obo/GO_0050112	5606
N-acetyl-beta-alanine deacetylase activity	http://purl.obolibrary.org/obo/GO_0050117	42138
myo-inosose-2 dehydratase activity	http://purl.obolibrary.org/obo/GO_0050114	40680
N,N-dimethylformamidase activity	http://purl.obolibrary.org/obo/GO_0050116	4692
myosin-light-chain-phosphatase activity	http://purl.obolibrary.org/obo/GO_0050115	7560
mycocerosate synthase activity	http://purl.obolibrary.org/obo/GO_0050111	32786
N-acetylglucosamine deacetylase activity	http://purl.obolibrary.org/obo/GO_0050119	37281
mucinaminylserine mucinaminidase activity	http://purl.obolibrary.org/obo/GO_0050110	42332
N-acetyldiaminopimelate deacetylase activity	http://purl.obolibrary.org/obo/GO_0050118	10695
negative regulation of juvenile hormone catabolic process	http://purl.obolibrary.org/obo/GO_0045970	15858
positive regulation of mitotic cell cycle, embryonic	http://purl.obolibrary.org/obo/GO_0045977	19721
negative regulation of nucleoside metabolic process	http://purl.obolibrary.org/obo/GO_0045978	28755
positive regulation of translation, ncRNA-mediated	http://purl.obolibrary.org/obo/GO_0045975	44271
regulation of translation, ncRNA-mediated	http://purl.obolibrary.org/obo/GO_0045974	41304
positive regulation of juvenile hormone catabolic process	http://purl.obolibrary.org/obo/GO_0045971	16390
negative regulation of mitotic cell cycle, embryonic	http://purl.obolibrary.org/obo/GO_0045976	26695
positive regulation of nucleoside metabolic process	http://purl.obolibrary.org/obo/GO_0045979	30933
positive regulation of juvenile hormone secretion	http://purl.obolibrary.org/obo/GO_0045973	2605
negative regulation of juvenile hormone secretion	http://purl.obolibrary.org/obo/GO_0045972	24097
mucilage biosynthetic process involved in seed coat development	http://purl.obolibrary.org/obo/GO_0048354	16640
root epithelial mucilage biosynthetic process	http://purl.obolibrary.org/obo/GO_0048356	32207
positive regulation of paraxial mesodermal cell fate specification	http://purl.obolibrary.org/obo/GO_0048350	38881
negative regulation of paraxial mesodermal cell fate specification	http://purl.obolibrary.org/obo/GO_0048351	1530
mucilage pectin biosynthetic process	http://purl.obolibrary.org/obo/GO_0048358	154
mucilage metabolic process involved in seed coat development	http://purl.obolibrary.org/obo/GO_0048359	10546
pedicel mucilage biosynthetic process	http://purl.obolibrary.org/obo/GO_0048357	32437
paraxial mesoderm structural organization	http://purl.obolibrary.org/obo/GO_0048352	36274
root cap mucilage biosynthetic process	http://purl.obolibrary.org/obo/GO_0048355	39271
positive regulation of phosphorelay signal transduction system	http://purl.obolibrary.org/obo/GO_0070299	24011
negative regulation of phosphorelay signal transduction system	http://purl.obolibrary.org/obo/GO_0070298	3378
sarcoplasmic reticulum calcium ion transport	http://purl.obolibrary.org/obo/GO_0070296	30617
renal absorption	http://purl.obolibrary.org/obo/GO_0070293	23281
N-acylphosphatidylethanolamine metabolic process	http://purl.obolibrary.org/obo/GO_0070292	11678
N-acylphosphatidylethanolamine-specific phospholipase D activity	http://purl.obolibrary.org/obo/GO_0070290	35805
renal water absorption	http://purl.obolibrary.org/obo/GO_0070295	39636
renal sodium ion absorption	http://purl.obolibrary.org/obo/GO_0070294	22359
N-acylethanolamine metabolic process	http://purl.obolibrary.org/obo/GO_0070291	11292
regulation of phosphorelay signal transduction system	http://purl.obolibrary.org/obo/GO_0070297	21698
3-methylsalicylaldehyde dehydrogenase activity	http://purl.obolibrary.org/obo/GO_0034538	39819
4-hydroxymethylsalicyaldehyde dehydrogenase activity	http://purl.obolibrary.org/obo/GO_0034530	38431
2-hydroxy-4-hydroxymethylbenzalpyruvate hydratase-aldolase activity	http://purl.obolibrary.org/obo/GO_0034531	11858
1,2-dihydroxy-8-methylnaphthalene dioxygenase activity	http://purl.obolibrary.org/obo/GO_0034535	8137
2-hydroxy-8-methylchromene-2-carboxylate isomerase activity	http://purl.obolibrary.org/obo/GO_0034536	24462
1,2-dihydroxy-7-hydroxymethylnaphthalene dioxygenase activity	http://purl.obolibrary.org/obo/GO_0034533	66
3,3',5,5'-tetrabromobisphenol A reductive dehalogenase activity	http://purl.obolibrary.org/obo/GO_0034539	23520
2-hydroxy-3-methylbenzalpyruvate hydratase-aldolase activity	http://purl.obolibrary.org/obo/GO_0034537	23054
1-methylnaphthalene hydroxylase activity	http://purl.obolibrary.org/obo/GO_0034534	26490
2-hydroxy-7-hydroxymethylchromene-2-carboxylate isomerase activity	http://purl.obolibrary.org/obo/GO_0034532	14036
sn-glycerol 3-phosphate binding	http://purl.obolibrary.org/obo/GO_1902516	22595
regulation of apoptotic DNA fragmentation	http://purl.obolibrary.org/obo/GO_1902510	18953
positive regulation of apoptotic DNA fragmentation	http://purl.obolibrary.org/obo/GO_1902512	32337
response to cyclophosphamide	http://purl.obolibrary.org/obo/GO_1902518	22597
negative regulation of apoptotic DNA fragmentation	http://purl.obolibrary.org/obo/GO_1902511	36546
response to docetaxel trihydrate	http://purl.obolibrary.org/obo/GO_1902519	42289
regulation of organelle transport along microtubule	http://purl.obolibrary.org/obo/GO_1902513	22497
regulation of calcium ion transmembrane transport via high voltage-gated calcium channel	http://purl.obolibrary.org/obo/GO_1902514	24438
transcription termination site sequence-specific DNA binding	http://purl.obolibrary.org/obo/GO_0001147	2321
eriodictyol 2-hydroxylase activity	http://purl.obolibrary.org/obo/GO_0102472	15843
beta-L-arabinofuranosidase activity	http://purl.obolibrary.org/obo/GO_0102478	22549
2-hydroxynaringenin-6C-glucoside dehydratase activity	http://purl.obolibrary.org/obo/GO_0102471	31073
quercetin 3-O-beta:-D-galactosyltransferase activity	http://purl.obolibrary.org/obo/GO_0102479	12017
pinocembrin 2-hydroxylase activity	http://purl.obolibrary.org/obo/GO_0102476	35108
2-hydroxyeriodictyol 6C-glucoside dehydratase activity	http://purl.obolibrary.org/obo/GO_0102475	22377
eriodictyol dibenzoylmethane tautomer 8C-glucosyltransferase activity	http://purl.obolibrary.org/obo/GO_0102473	9238
eriodictyol dibenzoylmethane tautomer 6C-glucosyltransferase activity	http://purl.obolibrary.org/obo/GO_0102474	4647
6C-naringenin dibenzoylmethane tautomer glucosyltransferase activity	http://purl.obolibrary.org/obo/GO_0102470	19828
2,5,7-trihydroxyflavanone 6C-glucoside dehydratase activity	http://purl.obolibrary.org/obo/GO_0102477	28460
envenomation resulting in positive regulation of blood pressure in another organism	http://purl.obolibrary.org/obo/GO_0044499	36482
modulation of blood pressure in another organism	http://purl.obolibrary.org/obo/GO_0044495	8313
positive regulation of voltage-gated sodium channel activity in another organism	http://purl.obolibrary.org/obo/GO_0044490	20734
positive regulation of molecular function in another organism	http://purl.obolibrary.org/obo/GO_0044491	19455
