label	entity_id	ssid
All	http://purl.obolibrary.org/obo/HP_0000001	[5, 3, 9, 7, 0]
Abnormality of body height	http://purl.obolibrary.org/obo/HP_0000002	[6, 1, 7, 7, 0]
Multicystic kidney dysplasia	http://purl.obolibrary.org/obo/HP_0000003	[5, 7, 5, 5, 0]
Mode of inheritance	http://purl.obolibrary.org/obo/HP_0000005	[5, 3, 4, 3, 0]
Autosomal dominant inheritance	http://purl.obolibrary.org/obo/HP_0000006	[5, 3, 4, 5, 0]
Autosomal recessive inheritance	http://purl.obolibrary.org/obo/HP_0000007	[5, 3, 4, 1, 0]
Abnormal morphology of female internal genitalia	http://purl.obolibrary.org/obo/HP_0000008	[6, 2, 7, 0, 0]
Functional abnormality of the bladder	http://purl.obolibrary.org/obo/HP_0000009	[6, 7, 3, 7, 0]
Recurrent urinary tract infections	http://purl.obolibrary.org/obo/HP_0000010	[5, 3, 5, 2, 9]
Neurogenic bladder	http://purl.obolibrary.org/obo/HP_0000011	[0, 0, 5, 6, 0]
Urinary urgency	http://purl.obolibrary.org/obo/HP_0000012	[0, 0, 5, 7, 0]
Hypoplasia of the uterus	http://purl.obolibrary.org/obo/HP_0000013	[7, 6, 1, 7, 0]
Abnormality of the bladder	http://purl.obolibrary.org/obo/HP_0000014	[6, 7, 3, 7, 1]
Bladder diverticulum	http://purl.obolibrary.org/obo/HP_0000015	[4, 8, 5, 1, 0]
Urinary retention	http://purl.obolibrary.org/obo/HP_0000016	[5, 3, 5, 5, 0]
Nocturia	http://purl.obolibrary.org/obo/HP_0000017	[5, 3, 5, 5, 1]
Urinary hesitancy	http://purl.obolibrary.org/obo/HP_0000019	[7, 8, 6, 6, 0]
Urinary incontinence	http://purl.obolibrary.org/obo/HP_0000020	[0, 0, 5, 5, 0]
Megacystis	http://purl.obolibrary.org/obo/HP_0000021	[2, 6, 7, 0, 0]
Abnormal male internal genitalia morphology	http://purl.obolibrary.org/obo/HP_0000022	[6, 2, 7, 7, 0]
Inguinal hernia	http://purl.obolibrary.org/obo/HP_0000023	[4, 8, 8, 2, 0]
Prostatitis	http://purl.obolibrary.org/obo/HP_0000024	[5, 9, 0, 7, 0]
Functional abnormality of male internal genitalia	http://purl.obolibrary.org/obo/HP_0000025	[6, 2, 7, 7, 1]
Male hypogonadism	http://purl.obolibrary.org/obo/HP_0000026	[7, 3, 1, 0, 0]
Azoospermia	http://purl.obolibrary.org/obo/HP_0000027	[7, 3, 3, 3, 0]
Cryptorchidism	http://purl.obolibrary.org/obo/HP_0000028	[7, 3, 7, 3, 0]
Testicular atrophy	http://purl.obolibrary.org/obo/HP_0000029	[7, 3, 7, 0, 0]
Testicular gonadoblastoma	http://purl.obolibrary.org/obo/HP_0000030	[5, 8, 7, 3, 0]
Epididymitis	http://purl.obolibrary.org/obo/HP_0000031	[5, 9, 0, 9, 0]
Abnormal male external genitalia morphology	http://purl.obolibrary.org/obo/HP_0000032	[6, 2, 7, 2, 0]
Ambiguous genitalia, male	http://purl.obolibrary.org/obo/HP_0000033	[7, 3, 5, 0, 0]
Hydrocele testis	http://purl.obolibrary.org/obo/HP_0000034	[4, 8, 2, 8, 0]
Abnormal testis morphology	http://purl.obolibrary.org/obo/HP_0000035	[6, 2, 4, 0, 0]
Abnormal penis morphology	http://purl.obolibrary.org/obo/HP_0000036	[6, 2, 4, 2]
Male pseudohermaphroditism	http://purl.obolibrary.org/obo/HP_0000037	[5, 6, 0, 7, 5, 0]
Epispadias	http://purl.obolibrary.org/obo/HP_0000039	[4, 8, 2, 9, 0]
Long penis	http://purl.obolibrary.org/obo/HP_0000040	[3, 6, 1, 0]
Chordee	http://purl.obolibrary.org/obo/HP_0000041	[4, 0, 7, 9, 0]
Absent external genitalia	http://purl.obolibrary.org/obo/HP_0000042	[7, 3, 5, 5, 0]
Hypogonadotropic hypogonadism	http://purl.obolibrary.org/obo/HP_0000044	[7, 3, 1, 0, 1]
Abnormal scrotum morphology	http://purl.obolibrary.org/obo/HP_0000045	[6, 2, 4, 4, 0]
Small scrotum	http://purl.obolibrary.org/obo/HP_0000046	[7, 3, 7, 2, 0]
Hypospadias	http://purl.obolibrary.org/obo/HP_0000047	[7, 3, 4, 1, 0]
Bifid scrotum	http://purl.obolibrary.org/obo/HP_0000048	[4, 8, 2, 2, 0]
Shawl scrotum	http://purl.obolibrary.org/obo/HP_0000049	[4, 0, 3, 1, 0]
Hypoplastic male external genitalia	http://purl.obolibrary.org/obo/HP_0000050	[7, 3, 7, 5, 0]
Perineal hypospadias	http://purl.obolibrary.org/obo/HP_0000051	[7, 3, 4, 1, 1]
Urethral atresia, male	http://purl.obolibrary.org/obo/HP_0000052	[7, 3, 8, 3, 0]
Macroorchidism	http://purl.obolibrary.org/obo/HP_0000053	[4, 2, 6, 2, 0]
Micropenis	http://purl.obolibrary.org/obo/HP_0000054	[7, 0, 6, 3, 0]
Abnormal female external genitalia morphology	http://purl.obolibrary.org/obo/HP_0000055	[6, 2, 7, 0, 1]
Abnormal clitoris morphology	http://purl.obolibrary.org/obo/HP_0000056	[6, 2, 3, 0, 0]
obsolete Clitoromegaly	http://purl.obolibrary.org/obo/HP_0000057	[4, 4, 0, 1, 0]
Abnormal labia morphology	http://purl.obolibrary.org/obo/HP_0000058	[6, 5, 1, 9, 0]
Hypoplastic labia majora	http://purl.obolibrary.org/obo/HP_0000059	[7, 0, 6, 5, 0]
Clitoral hypoplasia	http://purl.obolibrary.org/obo/HP_0000060	[7, 0, 6, 5, 1]
Ambiguous genitalia, female	http://purl.obolibrary.org/obo/HP_0000061	[7, 3, 5, 0, 1]
Ambiguous genitalia	http://purl.obolibrary.org/obo/HP_0000062	[7, 3, 5, 0, 2]
Fused labia minora	http://purl.obolibrary.org/obo/HP_0000063	[4, 4, 0, 4, 0]
Hypoplastic labia minora	http://purl.obolibrary.org/obo/HP_0000064	[7, 0, 6, 5, 2]
Labial hypertrophy	http://purl.obolibrary.org/obo/HP_0000065	[2, 6, 9, 5, 0]
Labial hypoplasia	http://purl.obolibrary.org/obo/HP_0000066	[7, 0, 6, 5, 3]
Urethral atresia, female	http://purl.obolibrary.org/obo/HP_0000067	[7, 3, 8, 3, 1]
Urethral atresia	http://purl.obolibrary.org/obo/HP_0000068	[7, 3, 8, 3, 2]
Abnormality of the ureter	http://purl.obolibrary.org/obo/HP_0000069	[6, 7, 3, 2, 0]
Ureterocele	http://purl.obolibrary.org/obo/HP_0000070	[4, 8, 7, 2, 0]
Ureteral stenosis	http://purl.obolibrary.org/obo/HP_0000071	[3, 2, 1, 0]
Hydroureter	http://purl.obolibrary.org/obo/HP_0000072	[5, 7, 5, 3, 0]
Ureteral duplication	http://purl.obolibrary.org/obo/HP_0000073	[4, 8, 0, 2, 0]
Ureteropelvic junction obstruction	http://purl.obolibrary.org/obo/HP_0000074	[4, 8, 3, 0, 0]
Renal duplication	http://purl.obolibrary.org/obo/HP_0000075	[4, 8, 0, 1, 0, 0]
Vesicoureteral reflux	http://purl.obolibrary.org/obo/HP_0000076	[5, 7, 7, 6, 0]
Abnormality of the kidney	http://purl.obolibrary.org/obo/HP_0000077	[6, 7, 1, 3, 0]
Abnormality of the genital system	http://purl.obolibrary.org/obo/HP_0000078	[6, 2, 7, 1]
Abnormality of the urinary system	http://purl.obolibrary.org/obo/HP_0000079	[6, 7, 3, 1, 0]
Abnormality of reproductive system physiology	http://purl.obolibrary.org/obo/HP_0000080	[6, 8, 7, 1, 0]
Duplicated collecting system	http://purl.obolibrary.org/obo/HP_0000081	[4, 8, 0, 1, 8]
Renal insufficiency	http://purl.obolibrary.org/obo/HP_0000083	[7, 8, 6, 1, 0]
Horseshoe kidney	http://purl.obolibrary.org/obo/HP_0000085	[4, 8, 0, 9, 0]
Ectopic kidney	http://purl.obolibrary.org/obo/HP_0000086	[4, 8, 0, 9, 1]
Renal hypoplasia	http://purl.obolibrary.org/obo/HP_0000089	[7, 6, 1, 7, 1]
Nephronophthisis	http://purl.obolibrary.org/obo/HP_0000090	[5, 7, 5, 9, 0]
Abnormal renal tubule morphology	http://purl.obolibrary.org/obo/HP_0000091	[6, 7, 1, 0, 0]
Renal tubular atrophy	http://purl.obolibrary.org/obo/HP_0000092	[7, 9, 5, 3, 0]
Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	[5, 7, 1, 1, 0]
Abnormal renal glomerulus morphology	http://purl.obolibrary.org/obo/HP_0000095	[6, 0, 2, 5, 0]
Glomerular sclerosis	http://purl.obolibrary.org/obo/HP_0000096	[5, 7, 9, 7, 0]
Focal segmental glomerulosclerosis	http://purl.obolibrary.org/obo/HP_0000097	[5, 7, 9, 0, 0]
Tall stature	http://purl.obolibrary.org/obo/HP_0000098	[3, 6, 7, 1, 0]
Glomerulonephritis	http://purl.obolibrary.org/obo/HP_0000099	[5, 7, 1, 9, 0]
